road_segment,road_category,day_of_week,hour_of_day,current_speed,avg_speed_last_15min,avg_speed_last_30min,weather_condition,is_peak_hour,future_speedband
Nicoll Highway,B,2,6,52.2,57.5,56.2,Clear,0,6
Seletar Expressway,Y,5,12,41.8,44.9,47.8,Thunderstorm,0,5
Nicoll Highway,B,5,18,42.0,38.2,46.9,Drizzle,0,5
Upper Thomson Road,B,3,9,12.0,7.8,9.5,Rain,1,1
Kallang Paya Lebar Expressway,Y,4,22,42.8,39.9,44.9,Thunderstorm,0,5
East Coast Parkway,Y,0,3,56.7,56.9,57.1,Rain,0,6
Nicoll Highway,B,3,2,47.9,47.2,42.1,Haze,0,5
Bedok North Avenue 3,C,0,9,23.2,25.7,22.6,Mist,1,2
Tampines Avenue 10,B,3,19,24.5,15.9,19.2,Mist,1,3
Woodlands Avenue 12,B,6,4,35.4,37.0,33.3,Mist,0,4
Tampines Expressway,Y,4,3,43.4,43.2,38.2,Thunderstorm,0,5
Upper Thomson Road,B,2,5,33.6,32.7,39.0,Rain,0,4
Bukit Timah Expressway,Y,5,20,47.9,47.8,48.1,Rain,0,5
Kallang Paya Lebar Expressway,Y,0,11,72.0,72.2,62.5,Clouds,0,7
Bedok North Avenue 3,C,6,12,35.2,37.1,40.8,Drizzle,0,4
Woodlands Avenue 12,B,1,1,41.3,40.6,38.3,Clouds,0,5
Pan Island Expressway,Y,3,4,70.9,68.9,73.7,Clouds,0,7
Clementi Avenue 3,C,3,20,25.5,23.9,22.2,Clouds,1,4
Seletar Expressway,Y,6,12,35.6,32.6,35.8,Thunderstorm,0,3
Seletar Expressway,Y,0,18,46.9,46.2,43.9,Haze,1,5
Kallang Paya Lebar Expressway,Y,2,23,74.5,75.2,82.4,Clear,0,8
Tampines Avenue 10,B,4,15,44.5,39.6,45.5,Clear,0,5
Kallang Paya Lebar Expressway,Y,2,18,20.9,20.6,23.1,Thunderstorm,1,2
Woodlands Avenue 12,B,2,1,22.7,19.7,19.4,Thunderstorm,0,2
Tampines Avenue 10,B,4,12,37.7,40.9,34.6,Drizzle,0,4
Tampines Avenue 10,B,1,8,13.4,17.2,20.1,Rain,1,1
Seletar Expressway,Y,0,7,35.8,40.2,38.4,Mist,1,4
Clementi Avenue 3,C,3,8,26.0,28.3,32.4,Clouds,1,3
Bukit Timah Expressway,Y,3,21,55.9,55.0,57.1,Drizzle,0,6
Clementi Avenue 3,C,0,1,40.0,38.8,41.6,Clouds,0,5
East Coast Parkway,Y,4,9,48.0,49.3,45.6,Drizzle,1,5
Kallang Paya Lebar Expressway,Y,1,14,41.9,40.4,43.6,Thunderstorm,0,5
Ayer Rajah Expressway,Y,4,17,34.4,34.1,26.3,Rain,1,4
Orchard Road,B,4,9,21.4,18.9,28.7,Drizzle,1,3
Ayer Rajah Expressway,Y,6,1,36.1,39.7,32.7,Thunderstorm,0,4
Ayer Rajah Expressway,Y,5,11,54.3,54.7,55.3,Rain,0,5
Pan Island Expressway,Y,6,9,76.1,79.2,74.6,Clouds,0,8
Kallang Paya Lebar Expressway,Y,1,19,48.5,51.1,56.2,Haze,1,5
Central Expressway,Y,0,0,59.5,63.0,70.3,Haze,0,7
Nicoll Highway,B,4,6,52.2,51.1,49.9,Haze,0,6
Bedok North Avenue 3,C,2,10,29.1,32.4,25.1,Drizzle,0,4
Pan Island Expressway,Y,3,14,38.8,37.8,29.8,Thunderstorm,0,4
Tampines Expressway,Y,4,2,74.8,75.5,75.3,Clear,0,8
Upper Thomson Road,B,3,20,22.8,23.6,24.1,Mist,1,3
Pan Island Expressway,Y,3,7,47.2,44.3,50.6,Drizzle,1,5
Ayer Rajah Expressway,Y,5,10,78.0,80.6,79.0,Clear,0,8
Pan Island Expressway,Y,4,1,65.2,65.2,72.9,Mist,0,7
Clementi Avenue 3,C,4,4,39.1,38.5,41.9,Haze,0,4
Central Expressway,Y,3,16,63.6,59.5,70.1,Mist,0,7
Bukit Timah Expressway,Y,3,12,35.7,36.2,36.9,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,5,16,68.2,70.5,59.3,Haze,0,7
Seletar Expressway,Y,2,17,53.1,52.3,54.6,Clouds,1,5
Bukit Timah Expressway,Y,6,6,75.0,73.7,72.9,Clouds,0,8
Bedok North Avenue 3,C,5,0,19.1,19.3,12.9,Thunderstorm,0,2
Ayer Rajah Expressway,Y,0,22,66.8,70.2,66.9,Mist,0,7
Kallang Paya Lebar Expressway,Y,3,23,64.1,65.2,55.2,Mist,0,7
Upper Thomson Road,B,5,16,35.7,37.1,40.0,Rain,0,4
Nicoll Highway,B,2,4,40.2,42.5,42.6,Rain,0,5
Upper Thomson Road,B,3,11,38.3,39.1,35.5,Haze,0,5
Nicoll Highway,B,3,5,49.3,50.8,54.2,Clouds,0,5
Ayer Rajah Expressway,Y,6,12,68.5,68.7,73.2,Clear,0,7
Woodlands Avenue 12,B,3,3,41.5,41.3,36.8,Clouds,0,5
Seletar Expressway,Y,4,10,65.5,59.0,62.6,Clouds,0,7
Pan Island Expressway,Y,5,14,72.7,77.6,70.9,Clouds,0,8
East Coast Parkway,Y,5,4,71.9,70.7,65.6,Haze,0,7
Tampines Expressway,Y,3,6,65.5,69.7,61.6,Mist,0,7
Seletar Expressway,Y,1,14,69.4,69.9,69.6,Clouds,0,8
Bukit Timah Expressway,Y,1,9,52.7,56.5,46.8,Clear,1,6
Tampines Expressway,Y,2,9,10.2,12.4,11.6,Thunderstorm,1,2
Nicoll Highway,B,0,18,9.1,14.3,9.8,Thunderstorm,1,1
Bedok North Avenue 3,C,4,4,18.2,17.8,14.2,Thunderstorm,0,2
Bedok North Avenue 3,C,1,21,17.9,14.9,21.8,Thunderstorm,0,2
Woodlands Avenue 12,B,0,12,36.3,34.6,32.6,Mist,0,4
Kallang Paya Lebar Expressway,Y,5,5,47.8,44.4,51.7,Rain,0,5
Kallang Paya Lebar Expressway,Y,3,20,44.5,44.5,45.7,Clouds,1,5
Upper Thomson Road,B,0,19,30.2,27.0,31.5,Clear,1,3
East Coast Parkway,Y,1,5,79.6,81.4,78.2,Clear,0,8
Seletar Expressway,Y,2,15,39.9,43.8,42.0,Thunderstorm,0,4
Tampines Avenue 10,B,5,14,37.3,37.6,29.8,Mist,0,4
Woodlands Avenue 12,B,4,11,43.9,43.2,43.0,Clouds,0,5
Orchard Road,B,6,17,42.4,40.0,40.0,Clouds,0,5
Woodlands Avenue 12,B,2,20,14.9,15.3,11.9,Rain,1,2
Bukit Timah Expressway,Y,6,12,59.6,58.4,64.6,Mist,0,7
Clementi Avenue 3,C,1,15,39.5,39.8,42.2,Clouds,0,4
Orchard Road,B,1,9,18.5,17.2,23.2,Rain,1,2
Tampines Expressway,Y,1,7,12.5,9.9,12.1,Thunderstorm,1,2
East Coast Parkway,Y,2,1,77.3,77.4,76.5,Clouds,0,8
Bedok North Avenue 3,C,6,1,32.0,31.3,38.7,Drizzle,0,3
Ayer Rajah Expressway,Y,4,8,46.7,50.6,56.0,Haze,1,5
Clementi Avenue 3,C,6,15,37.2,35.0,25.4,Haze,0,4
Central Expressway,Y,6,3,53.7,54.1,45.1,Rain,0,6
Kallang Paya Lebar Expressway,Y,2,12,55.5,54.2,63.5,Rain,0,6
Tampines Avenue 10,B,5,22,41.6,45.3,43.5,Mist,0,5
Tampines Avenue 10,B,0,4,43.9,41.0,49.9,Clouds,0,5
Bedok North Avenue 3,C,6,3,31.8,32.9,41.4,Clouds,0,4
Bukit Timah Expressway,Y,4,17,41.7,44.0,34.9,Haze,1,5
Tampines Avenue 10,B,5,6,40.1,42.5,33.0,Clouds,0,4
Orchard Road,B,4,0,19.3,15.7,17.9,Thunderstorm,0,2
Upper Thomson Road,B,3,9,26.0,27.5,24.3,Clouds,1,3
Upper Thomson Road,B,2,2,41.3,37.4,39.7,Mist,0,4
Seletar Expressway,Y,1,22,71.9,69.1,76.4,Clouds,0,8
Orchard Road,B,1,9,3.2,3.7,2.0,Thunderstorm,1,1
Pan Island Expressway,Y,2,2,69.9,64.4,73.5,Clouds,0,7
Woodlands Avenue 12,B,0,2,43.6,42.4,44.0,Clear,0,5
Bedok North Avenue 3,C,1,22,19.9,19.8,20.9,Thunderstorm,0,2
Pan Island Expressway,Y,3,17,27.7,24.3,19.1,Rain,1,3
Bedok North Avenue 3,C,1,6,30.1,30.4,26.8,Drizzle,0,4
Pan Island Expressway,Y,6,17,52.5,49.9,51.6,Rain,0,6
Central Expressway,Y,6,2,69.6,70.3,66.8,Clear,0,7
Seletar Expressway,Y,4,20,48.6,44.6,42.2,Clouds,1,5
Nicoll Highway,B,6,4,48.5,48.0,58.4,Haze,0,5
Tampines Avenue 10,B,1,8,16.5,15.4,12.5,Drizzle,1,2
Central Expressway,Y,6,7,67.1,69.3,70.5,Clouds,0,7
Bedok North Avenue 3,C,3,3,26.0,23.1,25.3,Rain,0,3
East Coast Parkway,Y,1,11,80.9,77.3,79.8,Clear,0,8
Seletar Expressway,Y,4,14,64.1,65.6,65.4,Mist,0,7
Pan Island Expressway,Y,1,15,76.6,79.3,76.9,Clouds,0,8
Bukit Timah Expressway,Y,1,15,46.6,45.8,47.3,Rain,0,6
Tampines Expressway,Y,1,22,67.5,66.8,70.2,Haze,0,7
Bedok North Avenue 3,C,3,8,23.0,22.2,22.4,Clouds,1,3
Upper Thomson Road,B,3,15,26.7,31.8,27.2,Thunderstorm,0,4
Tampines Avenue 10,B,0,1,32.8,34.0,37.1,Rain,0,4
East Coast Parkway,Y,6,13,74.0,73.0,71.2,Haze,0,8
Kallang Paya Lebar Expressway,Y,3,1,67.0,65.9,67.5,Mist,0,7
East Coast Parkway,Y,5,18,78.9,75.3,77.4,Clear,0,8
Upper Thomson Road,B,0,6,42.4,43.2,36.4,Haze,0,5
Woodlands Avenue 12,B,2,8,27.9,27.3,33.6,Mist,1,4
Kallang Paya Lebar Expressway,Y,2,7,17.1,19.4,23.8,Thunderstorm,1,2
Orchard Road,B,5,16,24.1,23.6,20.0,Rain,0,3
Kallang Paya Lebar Expressway,Y,0,5,64.0,63.0,64.9,Drizzle,0,7
Upper Thomson Road,B,1,7,13.4,11.0,13.0,Thunderstorm,1,2
Pan Island Expressway,Y,4,20,33.4,35.2,29.5,Rain,1,5
Clementi Avenue 3,C,3,2,35.7,38.3,32.0,Haze,0,4
Seletar Expressway,Y,4,17,18.3,15.6,17.2,Rain,1,2
East Coast Parkway,Y,0,10,43.4,41.5,41.8,Thunderstorm,0,5
East Coast Parkway,Y,3,20,47.3,46.4,50.2,Clouds,1,5
Central Expressway,Y,2,9,41.6,46.1,42.4,Clouds,1,5
Bedok North Avenue 3,C,4,17,11.3,8.3,10.5,Rain,1,2
Central Expressway,Y,4,20,42.6,40.9,47.7,Mist,1,4
East Coast Parkway,Y,6,14,70.4,71.6,70.5,Mist,0,8
Tampines Avenue 10,B,4,10,29.9,30.0,29.4,Rain,0,3
Kallang Paya Lebar Expressway,Y,4,13,65.4,59.7,63.5,Mist,0,7
Bukit Timah Expressway,Y,1,10,34.3,39.2,44.6,Thunderstorm,0,4
Nicoll Highway,B,5,4,49.6,56.5,48.2,Clouds,0,5
Nicoll Highway,B,4,2,23.6,20.2,32.2,Thunderstorm,0,3
Kallang Paya Lebar Expressway,Y,2,8,52.3,50.6,50.9,Clear,1,5
Nicoll Highway,B,4,23,54.4,52.2,63.1,Clear,0,6
Kallang Paya Lebar Expressway,Y,0,14,31.9,29.2,31.3,Thunderstorm,0,4
Upper Thomson Road,B,3,5,48.3,47.3,43.6,Clouds,0,5
East Coast Parkway,Y,3,23,39.2,37.0,37.4,Thunderstorm,0,4
Pan Island Expressway,Y,6,3,39.0,33.3,44.8,Thunderstorm,0,4
Bedok North Avenue 3,C,6,23,30.6,30.6,34.0,Mist,0,4
Kallang Paya Lebar Expressway,Y,0,3,58.6,54.4,66.0,Drizzle,0,6
Bukit Timah Expressway,Y,3,12,61.9,61.6,64.1,Drizzle,0,7
Bedok North Avenue 3,C,0,17,23.9,27.9,20.5,Drizzle,1,3
Tampines Avenue 10,B,2,2,40.2,37.3,38.6,Drizzle,0,5
Seletar Expressway,Y,6,15,55.1,53.1,52.3,Rain,0,6
Nicoll Highway,B,6,15,26.3,28.7,17.1,Thunderstorm,0,3
Ayer Rajah Expressway,Y,4,22,73.5,75.6,70.0,Clear,0,8
Nicoll Highway,B,4,18,30.2,31.7,31.1,Clouds,1,3
Ayer Rajah Expressway,Y,2,18,44.8,48.3,43.3,Mist,1,5
Bukit Timah Expressway,Y,4,0,68.1,66.8,64.9,Haze,0,7
Tampines Avenue 10,B,3,7,32.7,30.7,42.2,Clouds,1,4
Orchard Road,B,0,2,45.0,45.8,39.3,Clear,0,5
Pan Island Expressway,Y,4,4,71.3,75.9,66.4,Clouds,0,8
Tampines Avenue 10,B,1,23,48.0,53.7,48.6,Clouds,0,5
Woodlands Avenue 12,B,1,0,37.4,36.2,36.5,Mist,0,4
Pan Island Expressway,Y,4,21,54.9,55.3,58.0,Rain,0,6
Bedok North Avenue 3,C,4,13,34.6,32.8,37.6,Haze,0,3
Nicoll Highway,B,0,8,8.4,2.0,3.3,Thunderstorm,1,2
Tampines Avenue 10,B,3,15,24.5,26.4,18.0,Thunderstorm,0,3
Upper Thomson Road,B,2,7,27.0,28.8,31.4,Clear,1,3
Bukit Timah Expressway,Y,3,3,59.5,50.4,65.3,Haze,0,7
Seletar Expressway,Y,3,16,56.7,58.3,52.7,Rain,0,6
Clementi Avenue 3,C,0,12,35.2,33.8,36.7,Clouds,0,3
Upper Thomson Road,B,4,5,46.6,41.8,46.1,Haze,0,5
Pan Island Expressway,Y,3,23,80.0,78.9,75.5,Clear,0,8
Bedok North Avenue 3,C,4,18,25.2,24.6,25.5,Haze,1,2
Seletar Expressway,Y,5,12,72.5,77.0,73.2,Clouds,0,8
Upper Thomson Road,B,0,22,45.7,47.3,49.7,Clouds,0,5
Orchard Road,B,3,4,39.1,39.5,42.7,Mist,0,4
Bedok North Avenue 3,C,0,18,19.1,17.8,19.3,Clear,1,2
Tampines Avenue 10,B,4,6,31.1,38.0,30.6,Rain,0,3
East Coast Parkway,Y,6,2,79.5,78.3,82.8,Clear,0,8
Tampines Expressway,Y,1,14,67.2,74.0,76.2,Mist,0,8
Ayer Rajah Expressway,Y,2,5,58.0,57.3,57.4,Rain,0,7
Kallang Paya Lebar Expressway,Y,3,9,45.4,43.5,46.5,Haze,1,5
Bedok North Avenue 3,C,4,0,26.5,25.0,22.5,Rain,0,3
Kallang Paya Lebar Expressway,Y,1,6,64.1,65.0,61.1,Haze,0,7
Woodlands Avenue 12,B,6,11,40.1,40.6,51.5,Mist,0,4
Bukit Timah Expressway,Y,0,14,63.2,58.3,59.2,Drizzle,0,7
Pan Island Expressway,Y,4,4,52.7,53.8,59.5,Rain,0,6
Bedok North Avenue 3,C,4,5,37.7,31.3,36.6,Clouds,0,4
Tampines Avenue 10,B,0,23,36.4,38.5,32.1,Mist,0,4
Seletar Expressway,Y,3,23,69.0,62.7,64.7,Haze,0,7
Bedok North Avenue 3,C,2,7,24.6,25.0,25.3,Drizzle,1,3
Pan Island Expressway,Y,6,3,65.8,66.1,71.3,Haze,0,7
Tampines Expressway,Y,5,13,76.6,82.0,80.2,Clouds,0,8
Tampines Expressway,Y,1,1,43.3,48.5,42.4,Thunderstorm,0,5
Clementi Avenue 3,C,6,3,40.0,38.5,40.4,Clear,0,5
Seletar Expressway,Y,3,3,61.3,58.9,60.0,Drizzle,0,7
Central Expressway,Y,0,23,53.4,50.9,63.3,Rain,0,5
Tampines Expressway,Y,3,10,77.1,75.5,73.6,Clouds,0,8
Pan Island Expressway,Y,1,15,80.0,82.7,73.6,Clear,0,8
Seletar Expressway,Y,2,12,65.9,63.6,68.8,Mist,0,7
Orchard Road,B,6,20,21.3,24.4,27.5,Thunderstorm,0,3
Central Expressway,Y,6,14,35.1,35.7,43.0,Thunderstorm,0,4
Ayer Rajah Expressway,Y,0,21,67.1,71.5,70.8,Mist,0,7
Clementi Avenue 3,C,4,19,18.8,18.2,19.8,Clear,1,3
Pan Island Expressway,Y,2,23,71.6,67.1,79.4,Clear,0,7
Central Expressway,Y,4,1,68.3,71.7,69.4,Clear,0,7
Tampines Expressway,Y,6,20,61.0,62.4,62.8,Drizzle,0,6
Nicoll Highway,B,0,23,39.5,37.9,36.8,Drizzle,0,5
Clementi Avenue 3,C,6,23,29.0,29.3,30.4,Rain,0,3
Orchard Road,B,6,2,24.1,23.2,21.5,Thunderstorm,0,2
Woodlands Avenue 12,B,1,1,19.7,21.0,19.3,Thunderstorm,0,3
Bedok North Avenue 3,C,4,7,11.6,7.9,9.8,Drizzle,1,2
Kallang Paya Lebar Expressway,Y,3,0,68.2,66.5,83.0,Haze,0,7
Tampines Expressway,Y,6,17,46.7,46.0,50.9,Thunderstorm,0,5
Nicoll Highway,B,3,18,36.5,30.9,37.3,Clear,1,4
Tampines Expressway,Y,0,9,46.3,49.4,45.7,Mist,1,4
Woodlands Avenue 12,B,3,19,17.4,20.6,22.1,Rain,1,3
Tampines Expressway,Y,6,14,59.0,56.9,56.6,Rain,0,6
Orchard Road,B,5,13,37.9,37.8,33.9,Drizzle,0,3
Ayer Rajah Expressway,Y,2,13,66.5,63.6,65.3,Clouds,0,7
East Coast Parkway,Y,0,0,73.7,74.2,68.5,Clouds,0,8
Central Expressway,Y,6,0,55.0,59.4,59.6,Drizzle,0,6
Upper Thomson Road,B,3,5,42.8,50.7,43.8,Drizzle,0,4
Pan Island Expressway,Y,2,1,69.8,74.3,74.5,Mist,0,7
Bukit Timah Expressway,Y,1,15,64.0,60.8,52.8,Drizzle,0,7
Pan Island Expressway,Y,1,16,72.1,67.2,74.2,Clouds,0,8
Central Expressway,Y,5,14,65.9,68.4,70.7,Haze,0,7
Seletar Expressway,Y,2,22,59.8,60.0,72.0,Drizzle,0,6
Tampines Avenue 10,B,1,20,27.9,32.0,25.8,Haze,1,3
Tampines Avenue 10,B,3,6,45.6,48.3,47.6,Clear,0,4
East Coast Parkway,Y,6,6,61.3,62.5,61.4,Rain,0,7
Clementi Avenue 3,C,6,22,33.7,33.8,44.5,Drizzle,0,4
Orchard Road,B,2,3,35.9,37.6,36.4,Mist,0,4
Bukit Timah Expressway,Y,5,13,37.1,39.2,34.2,Thunderstorm,0,4
Tampines Expressway,Y,2,5,35.8,36.9,42.2,Thunderstorm,0,4
Clementi Avenue 3,C,2,2,33.4,35.2,35.0,Mist,0,3
Seletar Expressway,Y,2,2,68.6,68.1,70.4,Haze,0,7
Bukit Timah Expressway,Y,6,6,65.9,64.8,69.8,Mist,0,7
Tampines Avenue 10,B,0,8,7.4,12.5,3.8,Thunderstorm,1,1
Nicoll Highway,B,2,17,26.6,26.8,20.3,Mist,1,2
Pan Island Expressway,Y,0,14,62.2,66.1,62.1,Mist,0,7
Nicoll Highway,B,4,11,38.7,37.2,40.3,Rain,0,5
Tampines Expressway,Y,1,20,34.5,32.4,32.4,Rain,1,4
Clementi Avenue 3,C,5,21,39.1,38.9,40.9,Clear,0,4
Orchard Road,B,6,6,41.9,39.0,52.1,Clouds,0,5
Bukit Timah Expressway,Y,0,13,49.9,50.5,51.8,Rain,0,5
Kallang Paya Lebar Expressway,Y,4,11,71.1,76.6,72.0,Haze,0,7
Upper Thomson Road,B,0,16,38.8,39.9,36.0,Drizzle,0,4
Woodlands Avenue 12,B,5,8,24.0,19.6,21.1,Rain,0,3
Orchard Road,B,0,22,34.0,40.0,32.7,Drizzle,0,4
Woodlands Avenue 12,B,3,7,19.5,22.8,22.2,Drizzle,1,3
Orchard Road,B,3,9,23.0,23.6,22.5,Mist,1,2
Orchard Road,B,3,4,23.2,21.7,20.9,Thunderstorm,0,3
East Coast Parkway,Y,1,18,44.6,44.5,36.1,Haze,1,5
Seletar Expressway,Y,6,3,59.8,57.0,57.5,Mist,0,7
Tampines Avenue 10,B,3,16,40.0,40.6,39.1,Drizzle,0,4
Bedok North Avenue 3,C,6,19,34.7,35.7,41.6,Clouds,0,4
Central Expressway,Y,2,16,57.1,51.5,56.3,Mist,0,6
Tampines Expressway,Y,0,13,78.8,80.0,76.9,Clear,0,8
Seletar Expressway,Y,1,13,50.5,51.4,61.2,Rain,0,6
Upper Thomson Road,B,6,23,47.8,50.0,39.3,Haze,0,5
Orchard Road,B,6,9,38.6,36.4,38.3,Drizzle,0,4
Woodlands Avenue 12,B,1,12,36.6,36.4,38.0,Drizzle,0,4
Bedok North Avenue 3,C,5,13,25.8,32.1,22.1,Rain,0,3
Bukit Timah Expressway,Y,5,17,63.8,69.6,60.0,Mist,0,7
Ayer Rajah Expressway,Y,5,7,75.2,75.8,81.5,Clear,0,8
Seletar Expressway,Y,1,2,64.3,64.4,64.7,Drizzle,0,6
Tampines Expressway,Y,2,23,37.8,35.1,43.1,Thunderstorm,0,5
Pan Island Expressway,Y,5,11,56.9,55.5,63.1,Rain,0,6
Upper Thomson Road,B,5,16,41.5,45.2,47.5,Drizzle,0,3
Woodlands Avenue 12,B,3,0,25.2,27.2,23.9,Thunderstorm,0,4
Bukit Timah Expressway,Y,3,21,71.6,71.3,76.6,Clouds,0,8
Ayer Rajah Expressway,Y,5,23,35.9,37.8,32.4,Thunderstorm,0,5
Orchard Road,B,5,16,43.3,42.3,39.5,Clear,0,5
Bukit Timah Expressway,Y,5,7,69.6,71.8,72.4,Haze,0,8
Orchard Road,B,1,17,12.9,12.9,15.4,Rain,1,2
Pan Island Expressway,Y,6,15,72.7,75.2,70.3,Clouds,0,8
Pan Island Expressway,Y,3,6,68.5,69.4,70.5,Mist,0,7
Clementi Avenue 3,C,2,17,12.9,16.1,8.6,Mist,1,2
Bedok North Avenue 3,C,4,18,18.4,18.1,29.0,Rain,1,2
Woodlands Avenue 12,B,2,11,45.0,45.6,34.6,Clouds,0,4
Kallang Paya Lebar Expressway,Y,5,7,45.4,47.5,39.8,Rain,0,5
Seletar Expressway,Y,3,21,65.3,61.3,68.4,Mist,0,7
Orchard Road,B,4,21,30.1,32.8,30.4,Rain,0,3
Central Expressway,Y,6,5,69.5,70.0,66.0,Clear,0,8
Orchard Road,B,0,15,37.8,42.0,44.8,Haze,0,5
Pan Island Expressway,Y,4,23,67.2,56.9,71.6,Drizzle,0,8
Seletar Expressway,Y,4,4,68.7,64.9,68.4,Mist,0,7
Seletar Expressway,Y,1,1,71.4,66.3,64.7,Clear,0,8
Tampines Expressway,Y,0,10,77.0,77.3,79.7,Clear,0,8
Nicoll Highway,B,5,10,53.2,57.9,57.2,Clear,0,6
Kallang Paya Lebar Expressway,Y,6,14,39.2,40.7,40.7,Thunderstorm,0,4
Orchard Road,B,0,23,42.9,44.9,42.3,Haze,0,5
Woodlands Avenue 12,B,1,4,31.3,32.5,35.2,Rain,0,3
Kallang Paya Lebar Expressway,Y,1,8,28.7,29.1,28.2,Drizzle,1,4
Tampines Avenue 10,B,0,13,45.1,44.4,40.8,Clear,0,5
Tampines Avenue 10,B,1,23,45.7,47.0,44.2,Clouds,0,5
Bedok North Avenue 3,C,3,2,37.1,38.2,35.2,Haze,0,4
Tampines Avenue 10,B,2,8,24.9,23.7,31.3,Haze,1,3
Kallang Paya Lebar Expressway,Y,0,14,67.6,64.5,65.3,Clouds,0,8
Woodlands Avenue 12,B,6,10,36.2,36.9,37.6,Drizzle,0,4
Upper Thomson Road,B,2,21,48.3,48.3,49.6,Clear,0,5
Central Expressway,Y,4,18,51.6,48.7,53.4,Haze,1,6
East Coast Parkway,Y,2,13,76.0,77.1,78.4,Haze,0,8
Nicoll Highway,B,6,8,25.6,22.2,26.5,Thunderstorm,0,3
Ayer Rajah Expressway,Y,0,11,64.2,59.9,66.9,Haze,0,7
Tampines Avenue 10,B,2,9,15.6,14.0,17.3,Rain,1,2
Clementi Avenue 3,C,6,5,30.6,27.5,30.7,Mist,0,4
Nicoll Highway,B,2,17,30.2,30.3,30.4,Haze,1,4
Pan Island Expressway,Y,0,0,68.8,63.7,57.4,Drizzle,0,8
Upper Thomson Road,B,3,5,38.5,35.7,31.4,Drizzle,0,4
Clementi Avenue 3,C,3,2,37.5,39.1,42.3,Clear,0,4
Kallang Paya Lebar Expressway,Y,6,18,76.0,80.3,65.2,Clear,0,8
Central Expressway,Y,5,4,72.7,71.0,65.3,Clear,0,7
Tampines Avenue 10,B,0,21,38.8,43.1,40.8,Mist,0,4
Bedok North Avenue 3,C,2,8,5.6,5.8,7.6,Thunderstorm,1,1
Bukit Timah Expressway,Y,4,4,75.0,75.9,74.0,Clear,0,8
Ayer Rajah Expressway,Y,0,19,41.4,39.6,40.5,Drizzle,1,4
East Coast Parkway,Y,4,6,71.8,70.0,68.5,Mist,0,8
Woodlands Avenue 12,B,0,16,37.5,38.0,28.5,Mist,0,3
Bukit Timah Expressway,Y,0,21,52.7,52.0,62.5,Rain,0,6
Upper Thomson Road,B,3,1,45.5,46.9,46.9,Mist,0,5
Woodlands Avenue 12,B,0,14,30.6,27.5,37.8,Rain,0,4
Orchard Road,B,3,19,23.3,22.9,28.0,Clouds,1,3
Central Expressway,Y,1,2,66.3,71.1,70.4,Clouds,0,7
Orchard Road,B,5,18,42.7,42.8,46.1,Haze,0,5
Clementi Avenue 3,C,3,0,25.1,23.1,23.7,Rain,0,3
Orchard Road,B,4,16,25.7,25.1,26.6,Thunderstorm,0,3
Clementi Avenue 3,C,0,18,20.4,20.0,21.7,Haze,1,3
Central Expressway,Y,4,7,40.5,47.8,38.6,Haze,1,5
Upper Thomson Road,B,6,6,47.6,46.3,43.5,Clear,0,5
Tampines Expressway,Y,0,6,64.9,69.5,63.9,Mist,0,7
East Coast Parkway,Y,0,15,79.4,74.0,88.4,Clear,0,8
Seletar Expressway,Y,1,22,55.4,54.0,63.5,Rain,0,6
Tampines Avenue 10,B,2,7,33.9,32.2,27.6,Clear,1,3
Orchard Road,B,3,3,33.3,26.2,47.6,Drizzle,0,4
Upper Thomson Road,B,5,13,44.5,46.5,40.7,Mist,0,4
Bedok North Avenue 3,C,3,15,32.5,32.3,33.8,Clouds,0,3
Kallang Paya Lebar Expressway,Y,3,17,22.7,17.7,22.0,Thunderstorm,1,3
Seletar Expressway,Y,4,2,37.0,34.0,44.9,Thunderstorm,0,5
East Coast Parkway,Y,5,6,65.9,65.3,64.7,Drizzle,0,8
East Coast Parkway,Y,6,19,78.2,80.3,82.5,Clear,0,8
Orchard Road,B,2,2,40.4,40.1,47.4,Haze,0,5
Bukit Timah Expressway,Y,2,22,63.6,66.9,64.6,Drizzle,0,7
Tampines Avenue 10,B,2,4,39.3,43.9,33.8,Mist,0,5
Clementi Avenue 3,C,0,15,34.6,33.1,29.3,Haze,0,4
Kallang Paya Lebar Expressway,Y,4,16,56.6,54.4,59.0,Rain,0,6
Upper Thomson Road,B,6,17,34.9,31.6,27.3,Rain,0,5
Pan Island Expressway,Y,5,17,72.3,63.9,85.6,Clouds,0,7
Woodlands Avenue 12,B,5,17,37.4,37.1,43.1,Clear,0,4
Kallang Paya Lebar Expressway,Y,1,12,35.1,36.7,38.1,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,6,21,70.0,69.8,63.9,Haze,0,8
Pan Island Expressway,Y,6,21,76.8,76.6,87.1,Clouds,0,8
Bedok North Avenue 3,C,5,1,33.0,33.4,30.1,Mist,0,4
Pan Island Expressway,Y,5,19,69.5,67.5,58.8,Drizzle,0,7
Tampines Avenue 10,B,3,2,42.1,46.3,38.2,Mist,0,5
Ayer Rajah Expressway,Y,3,21,63.0,58.0,58.5,Mist,0,7
Woodlands Avenue 12,B,2,1,19.7,25.4,26.8,Thunderstorm,0,2
East Coast Parkway,Y,5,13,82.0,87.4,81.5,Clear,0,8
Kallang Paya Lebar Expressway,Y,3,18,18.3,20.4,13.0,Rain,1,2
